"","x","y"
"1","tout",0.28
"2","petit",0.18
"3","grand",0.5
"4","seul",0.46
"5","autre",-0.04
"6","même",-0.06
"7","bon",0.12
"8","premier",0.02
"9","beau",0.54
"10","jeune",0.38
"11","vieux",-0.5
"12","noir",0.64
"13","long",-0.2
"14","blanc",-0.24
"15","vrai",0.36
"16","sûr",0.76
"17","dernier",0.04
"18","plein",0.36
"19","gros",-0.64
"20","français",0.1
"21","rouge",-0.34
"22","possible",-0.14
"23","quoi",0.3
"24","bleu",-1
"25","propre",0.36
"26","mauvais",-0.36
"27","haut",0.12
"28","heureux",-0.24
"29","pauvre",-0.28
"30","bas",-0.2
"31","nouveau",0.62
"32","certain",0.3
"34","nu",0.34
"35","libre",0.54
"36","fou",1
"37","droit",0.14
"38","froid",-0.2
"39","clair",-0.24
"42","juste",0.3
"44","pareil",-0.12
"45","simple",0.32
"46","entier",0.14
"47","vide",-0.62
"48","dur",0.72
"49","lourd",-0.64
"50","vert",1
"51","doux",1
"52","sec",1
"53","fort",0.18
"54","cher",-0.08
"55","ouvert",-0.14
"56","moindre",-0.24
"57","sombre",1
"58","prêt",0.42
"59","énorme",-0.66
"60","joli",0.56
"61","difficile",0.22
"64","neuf",-1
"65","mort",0.92
"66","frais",0.14
"67","humain",0.68
"69","faux",-0.24
"70","court",0.1
"72","immense",0.72
"73","profond",0.76
"75","étrange",-1
"77","facile",0.44
"79","fin",-0.12
"81","rose",-0.84
"82","impossible",0.12
"83","général",-0.34
"84","vif",0.66
"85","drôle",0.82
"87","vivant",0.54
"88","différent",0.7
"89","tranquille",-1
"90","lointain",1
"91","épais",-0.34
"92","pur",0.14
"96","rare",0.04
"97","meilleur",0.42
"98","important",-0.34
"100","content",1
"101","capable",1
"102","pâle",1
"103","secret",0.06
"104","proche",0.66
"105","présent",0.7
"106","rond",-1
"107","mince",1
"109","commun",0.38
"110","étroit",1
"111","naturel",-1
"112","étranger",1
"113","bref",-0.12
"114","américain",-0.5
"116","malade",1
"118","rapide",0.14
"119","vaste",-1
"121","inutile",0.1
"122","unique",0.6
"123","britannique",-1
"124","brun",1
"125","nécessaire",0.66
"126","obscur",0.34
"128","sérieux",-0.6
"130","riche",0.76
"131","soudain",1
"132","public",0.66
"133","gentil",-1
"134","lent",0.34
"135","normal",-1
"137","minuscule",-1
"138","précis",-0.1
"139","inconnu",1
"140","plat",-0.84
"141","anglais",-0.2
"142","entendu",0.2
"143","tendre",1
"144","nombreux",0.28
"147","double",-0.34
"148","malheureux",-0.2
"149","passé",0.28
"150","perdu",0.28
"151","amoureux",0.66
"152","fier",-0.5
"153","pire",-0.24
"154","troisième",-0.1
"155","vain",0.6
"156","fermé",1
"157","véritable",0.4
"159","particulier",0.36
"160","mystérieux",1
"161","faible",1
"162","humide",1
"165","semblable",1
"166","divers",0.34
"168","invisible",1
"169","bizarre",0.34
"170","fait",0.14
"171","violent",1
"172","vieil",-1
"173","suivant",0.14
"174","sourd",1
"175","intérieur",0.5
"176","doré",-1
"177","personnel",-0.58
"178","social",0.24
"179","voisin",-0.34
"182","familier",1
"183","puissant",0.12
"185","supérieur",1
"187","incapable",1
"188","éternel",1
"190","joyeux",0.34
"191","ridicule",-1
"192","extrême",-1
"193","fragile",1
"194","sacré",-1
"198","venu",0.34
"199","complet",-0.46
"200","demi",1
"201","parfait",0.62
"202","extraordinaire",0.24
"204","saint",1
"205","bête",0.6
"208","total",0.34
"210","serré",-1
"211","charmant",-0.34
"212","réel",0.34
"214","merveilleux",0.46
"215","glacé",1
"216","net",0.34
"219","lumineux",1
"222","égal",0.6
"223","précieux",1
"224","principal",-0.64
"225","sensible",0.5
"226","interminable",-1
"227","exact",1
"230","douloureux",0.34
"231","quotidien",0.76
"232","confus",-1
"233","central",1
"235","bel",0.5
"236","délicat",1
"237","juif",0.76
"238","bien",0.22
"240","futur",0.72
"242","agréable",0.2
"243","cruel",1
"246","italien",1
"247","attentif",1
"248","intelligent",0.56
"249","fidèle",-0.14
"250","brutal",1
"252","digne",-0.86
"253","nul",-0.28
"254","las",-0.6
"255","brave",1
"256","moderne",0.5
"257","intime",1
"259","moral",0.4
"260","absolu",0.2
"261","formidable",1
"262","méchant",0.34
"263","excellent",0.5
"264","con",-1
"266","lisse",1
"267","célèbre",1
"270","physique",1
"271","discret",1
"272","féminin",0.6
"274","familial",0.76
"275","utile",0.2
"276","endormi",-1
"277","vu",0.12
"279","intact",1
"280","définitif",1
"283","fatigué",-0.34
"285","pressé",1
"286","populaire",0.5
"288","sage",-0.6
"290","absurde",0.64
"292","âgé",1
"293","élevé",1
"295","parisien",1
"297","indifférent",0.5
"299","étonnant",0.34
"302","absent",0.78
"303","sévère",0.34
"305","prisonnier",-1
"306","grec",0.5
"309","connu",0.28
"310","élégant",1
"311","quelconque",0.34
"312","intéressant",-0.34
"313","délicieux",1
"316","honnête",-0.6
"317","ordinaire",0.6
"318","menu",-0.34
"320","magnifique",0.6
"322","arrière",0.34
"323","stupide",-0.34
"324","pénible",-1
"326","souple",1
"329","solitaire",1
"330","coupé",1
"331","laid",1
"335","banal",-0.5
"336","levé",1
"337","ami",0.64
"338","sinistre",1
"339","magique",1
"340","ultime",0.34
"341","insupportable",-0.76
"343","horrible",1
"344","arabe",1
"345","vierge",-0.6
"346","timide",1
"347","inattendu",1
"348","creux",-0.5
"350","espagnol",-1
"351","divin",1
"352","international",1
"354","immédiat",1
"356","avant",0.52
"357","abandonné",-0.2
"358","religieux",0.66
"360","précédent",-0.56
"361","superbe",1
"363","maternel",0.2
"365","coupable",1
"366","raisonnable",1
"368","récent",1
"369","franc",1
"370","bourgeois",1
"372","étonné",1
"374","innocent",1
"375","essentiel",0.64
"376","amical",1
"378","misérable",-0.5
"379","subtil",1
"380","pourri",-1
"381","local",1
"384","incroyable",0.2
"385","intense",1
"386","grossier",0.34
"387","tragique",1
"388","sincère",0.76
"389","mou",1
"391","honteux",-1
"392","nouvel",1
"393","privé",0.72
"395","responsable",-0.34
"396","mécanique",1
"397","indispensable",1
"398","gigantesque",-1
"399","surpris",-0.08
"402","romain",1
"403","chrétien",1
"406","dérisoire",1
"411","classique",0.2
"414","monstrueux",0.2
"415","inquiétant",1
"418","peint",1
"419","actuel",0.34
"420","professionnel",-1
"421","sexuel",-0.8
"424","malin",1
"426","pris",0.12
"427","courant",-1
"428","mortel",1
"429","exceptionnel",0.76
"430","sanglant",1
"431","arrivé",-0.2
"432","surprenant",1
"433","mûr",1
"434","solennel",1
"436","clos",-0.66
"437","final",-0.34
"438","désagréable",-1
"440","imaginaire",1
"444","ennemi",1
"449","amusant",1
"450","instant",-0.34
"451","chéri",-1
"452","oublié",-0.16
"453","sain",1
"454","maladroit",-1
"455","fini",0.28
"456","humble",-0.6
"457","glorieux",1
"458","brûlé",1
"459","perpétuel",-1
"461","historique",1
"463","multiple",1
"464","incompréhensible",-1
"468","pesant",0.34
"472","maudit",-1
"473","fabuleux",1
"474","atroce",-1
"476","savant",-0.14
"479","croisé",-1
"480","sentimental",0.6
"481","littéraire",-0.26
"484","usé",-1
"489","matériel",1
"490","inférieur",-1
"492","gêné",1
"493","constant",1
"496","vulgaire",-0.24
"498","impatient",-1
"501","pratique",-1
"504","soucieux",1
"506","favorable",-1
"507","poussiéreux",-1
"508","subit",1
"510","feu",1
"511","brisé",1
"512","aîné",1
"513","mondial",-0.34
"514","idéal",0.84
"516","désespéré",0.34
"518","ironique",1
"519","sur",0.14
"521","féroce",1
"522","convenable",-1
"523","avide",1
"526","trouble",0.34
"527","maître",0.12
"528","lâche",1
"529","dit",0.18
"532","douteux",1
"533","ouvrier",1
"536","cru",0.28
"537","agressif",-1
"540","supplémentaire",-1
"541","collectif",1
"543","occidental",-0.6
"544","sympathique",-0.6
"545","satisfait",-1
"546","excessif",-1
"547","antique",1
"548","monotone",-1
"550","café",1
"553","cuit",-1
"554","rêveur",1
"555","irrésistible",1
"556","interdit",1
"558","efficace",1
"559","caché",-0.34
"561","intellectuel",-0.2
"562","inouï",1
"564","farouche",1
"565","couché",1
"572","couvert",-0.34
"574","tordu",1
"576","passionné",0.34
"577","isolé",1
"578","disparu",0.78
"581","rendu",1
"584","japonais",0.34
"585","furtif",1
"588","affectueux",1
"589","tombé",-0.5
"590","spirituel",-1
"593","contraire",0.54
"597","odieux",1
"598","chic",-1
"600","animal",1
"601","scolaire",-0.34
"602","émouvant",1
"604","relatif",-1
"605","volontaire",1
"606","favori",-1
"609","natal",1
"613","distrait",-0.34
"614","chouette",0.34
"617","donné",-0.22
"618","actif",1
"619","mignon",-1
"622","forcé",-0.76
"623","capital",-1
"624","posé",0.34
"625","comique",1
"626","infernal",0.34
"627","déchiré",1
"629","ennuyeux",-0.76
"630","éblouissant",1
"631","remarquable",0.42
"635","étincelant",1
"636","somptueux",1
"637","saoul",-1
"638","mouvant",1
"640","soi-disant",-1
"641","roman",0.08
"642","parallèle",-0.42
"644","gratuit",-1
"645","technique",-1
"647","souterrain",1
"650","rituel",1
"651","grotesque",0.34
"652","sublime",1
"653","battant",1
"654","triomphant",1
"655","marin",1
"657","tiré",0.24
"658","colonial",1
"659","mobile",-1
"660","latin",0.34
"661","gonflé",-1
"662","terrestre",-0.34
"664","pendant",0.2
"665","mis",0.14
"666","détaché",1
"667","tenace",1
"668","pieux",1
"669","lucide",1
"671","imprévisible",1
"672","enceinte",1
"673","désolé",-1
"679","bavard",-1
"681","éloigné",1
"682","limpide",0.34
"683","insensible",1
"684","artificiel",-1
"685","ému",-0.2
"690","fréquent",1
"695","fichu",1
"696","errant",1
"697","disponible",-1
"698","courageux",1
"700","suspendu",1
"701","susceptible",-0.34
"704","infime",-1
"711","neutre",1
"712","stérile",-1
"714","dense",0.2
"718","majeur",1
"724","impassible",1
"727","mal",-0.06
"730","mental",0.2
"731","fumant",1
"732","dramatique",1
"733","convaincu",-1
"734","authentique",1
"738","héroïque",1
"739","indien",1
"740","abominable",-1
"746","avancé",1
"747","pathétique",1
"752","préféré",0.24
"753","penché",1
"754","nature",0.2
"757","compris",0.14
"759","adulte",-1
"760","sordide",0.34
"761","choisi",0.14
"762","austère",-1
"764","meurtrier",1
"772","inconscient",-0.34
"774","sensuel",0.2
"775","protecteur",1
"776","impitoyable",0.5
"778","arrêté",-0.5
"780","indigne",1
"781","déçu",-0.82
"787","original",-0.08
"788","musical",-1
"792","accompli",1
"795","critique",-0.36
"796","compact",1
"804","lugubre",-1
"806","terrifiant",1
"808","fantastique",0.3
"810","confiant",1
"811","béant",1
"812","suisse",1
"813","romantique",0.2
"815","fraternel",1
"822","génial",1
"827","splendide",1
"830","masculin",1
"833","romanesque",-0.34
"837","découvert",0.78
"838","décidé",-0.34
"839","tardif",1
"842","libéré",1
"845","artistique",-1
"846","rigide",1
"850","méprisant",-1
"852","impressionnant",1
"853","gourmand",-1
"858","soigné",-0.34
"860","pensif",1
"862","haletant",1
"864","touchant",0.82
"865","réduit",0.5
"867","plaisant",1
"869","culturel",1
"874","modèle",0.66
"875","illustre",1
"879","puéril",-1
"884","symbolique",-1
"886","inépuisable",1
"887","invraisemblable",-0.2
"891","coloré",1
"892","écrit",-0.02
"897","froissé",-1
"907","jeté",1
"909","glauque",1
"910","financier",-1
"912","miraculeux",1
"913","lamentable",-1
"914","hideux",1
"917","reconnaissant",1
"922","voulu",0.14
"925","suivi",-0.5
"926","revenu",0.34
"927","ménager",1
"929","marchand",-1
"931","exemplaire",0.2
"935","poilu",1
"936","placé",1
"937","malsain",-1
"939","formel",1
"940","contradictoire",1
"943","troublant",1
"947","jumeau",1
"948","imprévu",1
"951","belge",-1
"952","ambigu",1
"955","animé",1
"956","érotique",-1
"959","mystique",-1
"960","inhumain",0.34
"961","guerrier",1
"963","continue",0.42
"968","volé",1
"971","secondaire",0.34
"973","chargé",0.6
"974","brut",1
"975","anodin",1
"977","voyant",1
"980","répugnant",1
"981","mâle",-1
"982","buté",1
"984","tourné",0.72
"985","ravi",1
"986","issu",1
"987","dupe",-1
"988","complexe",1
"990","précipité",1
"995","établi",1
"996","montant",-1
"997","jauni",1
"999","scandaleux",-1
"1000","rigoureux",1
"1001","négatif",1
"1003","fuyant",1
"1004","futile",1
"1011","réservé",1
"1012","réciproque",1
"1014","grêle",-1
"1017","séduisant",-1
"1022","énigmatique",1
"1026","radical",1
"1027","poétique",0.14
"1028","obligé",1
"1030","individuel",0.34
"1031","censé",-0.66
"1035","rangé",1
"1036","inoffensif",1
"1037","contenu",-0.24
"1038","étouffant",1
"1040","troublé",1
"1045","enchanté",1
"1048","ténébreux",1
"1050","anormal",-1
"1051","nommé",1
"1053","fatigant",-1
"1056","sympa",-1
"1057","intéressé",-1
"1058","aisé",-1
"1059","réussi",0.14
"1060","reçu",-0.5
"1064","positif",1
"1065","nazi",-1
"1066","industriel",1
"1067","improbable",0.2
"1068","enthousiaste",-1
"1070","retenu",-0.5
"1072","payé",-1
"1077","or",-0.14
"1078","inaperçu",-1
"1082","doué",-0.34
"1083","changé",-1
"1088","inoubliable",1
"1091","désinvolte",1
"1097","solaire",1
"1098","perceptible",1
"1101","exclusif",1
"1104","croissant",1
"1105","algérien",1
"1106","adolescent",0.6
"1116","chantant",1
"1119","séparé",0.34
"1121","marqué",0.66
"1122","interne",1
"1127","saugrenu",-1
"1128","passif",1
"1133","attendu",-0.42
"1134","attaché",1
"1141","laborieux",-1
"1143","inexplicable",1
"1146","artiste",0.6
"1147","vaincu",1
"1148","uniforme",1
"1152","super",0.34
"1153","musulman",1
"1155","inachevé",-1
"1158","disant",-0.76
"1163","écrasant",1
"1166","passionnant",1
"1167","nourri",1
"1169","minutieux",1
"1175","parent",0.1
"1178","gardien",1
"1181","admiratif",1
"1182","vibrant",1
"1183","vainqueur",1
"1186","savoureux",0.2
"1187","juvénile",-1
"1193","alerte",0.34
"1195","tu",-0.14
"1201","policier",0.5
"1203","piquant",-0.34
"1205","palpitant",1
"1207","dû",-0.58
"1208","bouleversé",1
"1210","éclair",-1
"1212","périlleux",1
"1213","illisible",-1
"1217","continuel",1
"1218","capricieux",1
"1219","atteint",-1
"1220","sauf",-0.54
"1222","psychologique",0.56
"1224","coupant",1
"1226","achevé",0.34
"1230","sujet",-0.3
"1234","mineur",1
"1235","involontaire",1
"1237","contemporain",0.5
"1238","apaisant",1
"1241","scientifique",-0.54
"1242","monté",1
"1244","gothique",-1
"1251","publicitaire",-0.72
"1252","prolongé",1
"1257","hypocrite",-1
"1267","cynique",1
"1276","indigné",-1
"1277","indicible",1
"1281","méticuleux",1
"1291","surnaturel",1
"1296","poignant",1
"1299","menacé",1
"1300","maritime",1
"1302","ignorant",-1
"1303","forain",1
"1304","automobile",1
"1308","regardant",-1
"1310","pervers",-1
"1312","insaisissable",-0.34
"1314","expert",1
"1318","aveuglant",1
"1320","voilé",1
"1326","pensant",-0.5
"1329","gamin",-0.34
"1330","encombrant",1
"1337","persuadé",-1
"1340","indéfinissable",1
"1343","engagé",1
"1345","appliqué",1
"1346","voleur",-1
"1347","ténu",1
"1348","tué",1
"1349","tumultueux",1
"1351","prétentieux",-1
"1352","placide",1
"1353","durable",1
"1355","condamné",1
"1366","croyant",-1
"1368","épuisant",-1
"1369","signé",1
"1370","sceptique",1
"1371","réaliste",1
"1372","notoire",1
"1373","illusoire",1
"1383","inéluctable",1
"1384","immortel",1
"1390","pavé",-0.5
"1391","niais",-0.5
"1398","sinueux",1
"1402","judiciaire",1
"1403","inspiré",0.14
"1409","délirant",1
"1411","assassin",0.34
"1413","primaire",-1
"1416","fascinant",1
"1419","amateur",-0.14
"1422","parlant",1
"1425","grandissant",-1
"1426","fourré",1
"1434","tourmenté",0.5
"1437","pétrifié",-1
"1440","flamboyant",-1
"1444","ancestral",1
"1449","vécu",0.66
"1450","touché",0.24
"1453","poussé",-1
"1454","patriotique",1
"1455","mémorable",1
"1456","méditerranéen",1
"1460","inédit",1
"1465","tranchant",1
"1467","progressif",1
"1468","nostalgique",1
"1469","intégral",-1
"1475","désabusé",1
"1478","bouleversant",1
"1481","lyrique",1
"1483","hystérique",1
"1484","esclave",1
"1487","canon",1
"1495","né",1
"1497","marocain",-1
"1499","lié",1
"1502","déplorable",-1
"1510","quitte",1
"1512","pâteux",-1
"1516","haché",-1
"1517","habitué",-1
"1519","exténué",-1
"1520","enfoui",1
"1523","convenu",-1
"1525","averti",-1
"1531","trompeur",-1
"1534","saisissant",0.5
"1535","pus",1
"1536","prononcé",-1
"1541","impersonnel",-0.34
"1542","garanti",1
"1543","gagné",1
"1562","complaisant",-1
"1571","insoutenable",1
"1581","vacillant",-1
"1584","solidaire",1
"1589","manqué",1
"1595","fluide",1
"1599","chair",1
"1601","alimentaire",-1
"1608","séculaire",-1
"1609","passant",0.2
"1614","morbide",1
"1615","incandescent",1
"1617","hébété",1
"1623","destiné",0.5
"1625","caractéristique",-1
"1630","voyageur",1
"1632","vigilant",-1
"1640","forcené",1
"1645","débordant",1
"1647","cohérent",1
"1652","borné",1
"1658","héréditaire",1
"1665","décevant",-1
"1667","concentré",1
"1669","chimique",1
"1670","apte",1
"1672","vaporeux",-1
"1674","pénétrant",1
"1675","permis",1
"1679","fervent",-1
"1683","soutenu",0.34
"1689","irréprochable",1
"1691","indestructible",1
"1694","contraint",1
"1696","chagrin",1
"1701","urbain",1
"1703","ordonné",1
"1706","malicieux",1
"1715","étudiant",0.5
"1718","souris",1
"1726","inespéré",1
"1730","dépourvu",-0.34
"1735","brouillé",1
"1738","torturé",0.34
"1745","pompeux",-0.34
"1749","martial",-1
"1752","exalté",1
"1756","dénudé",-1
"1763","bouilli",-1
"1764","éprouvé",1
"1767","reconnu",1
"1772","mythique",0.34
"1773","libanais",1
"1775","inexorable",1
"1780","ennuyé",-1
"1787","angoissant",1
"1789","agaçant",-1
"1795","insidieux",1
"1797","fastidieux",-1
"1804","annuel",-1
"1805","anglo-saxon",1
"1806","studieux",1
"1810","raté",0.34
"1813","millénaire",1
"1815","joueur",1
"1816","insipide",-1
"1823","célibataire",-1
"1824","contagieux",-1
"1832","éclaté",1
"1833","trait",0.42
"1835","servi",1
"1838","frappé",1
"1840","bourré",-0.34
"1844","universitaire",1
"1845","symétrique",1
"1847","saisi",1
"1853","passionnel",1
"1864","descendant",1
"1865","conventionnel",-1
"1868","blasé",1
"1869","abject",-1
"1873","trouvé",-0.34
"1875","teint",1
"1878","rigolo",-1
"1879","portée",1
"1886","habité",1
"1888","filial",1
"1894","anniversaire",-1
"1895","étriqué",1
"1902","sanguin",1
"1906","recueilli",1
"1907","qualifié",1
"1908","prime",0.34
"1909","photographique",-1
"1912","mutuel",-1
"1920","grinçant",1
"1922","donnant",1
"1928","cerné",1
"1929","arbitraire",1
"1931","écoeuré",-1
"1934","tranché",1
"1935","stalinien",1
"1941","objectif",-1
"1943","monstre",1
"1944","magistral",1
"1945","inébranlable",1
"1947","gardé",-0.34
"1950","dépassé",1
"1963","scellé",1
"1965","prodigue",1
"1967","pessimiste",1
"1970","inexistant",-1
"1976","déformé",1
"1977","aventureux",1
"1978","autoritaire",-0.34
"1980","approximatif",1
